,episode,a2c_reward
0,0,8.0
1,1,8.549999999999999
2,2,7.6724999999999985
3,3,7.388874999999998
4,4,6.719431249999998
5,5,6.533459687499998
6,6,6.7067867031249975
7,7,6.571447367968747
8,8,6.24287499957031
9,9,5.630731249591794
10,10,5.599194687112204
11,11,5.019234952756594
12,12,5.0182732051187635
13,13,4.517359544862825
14,14,4.241491567619684
15,15,4.579416989238699
16,16,3.850446139776764
17,17,3.657923832787926
18,18,3.4750276411485297
19,19,3.001276259091103
20,20,2.9512124461365477
21,21,2.5536518238297203
22,22,4.075969232638235
23,23,4.022170771006323
24,24,3.3710622324560062
25,25,2.902509120833206
26,26,4.007383664791545
27,27,3.257014481551968
28,28,2.8941637574743693
29,29,2.6494555696006508
30,30,2.066982791120618
31,31,1.7636336515645867
32,32,2.1254519689863574
33,33,1.8191793705370396
34,34,1.6782204020101874
35,35,1.644309381909678
36,36,1.362093912814194
37,37,1.5939892171734842
38,38,2.7642897563148097
39,39,3.126075268499069
40,40,2.619771505074115
41,41,3.9387829298204093
42,42,3.9918437833293887
43,43,4.842251594162919
44,44,5.250139014454773
45,45,4.837632063732034
46,46,4.995750460545432
47,47,4.54596293751816
48,48,4.018664790642252
49,49,3.9177315511101396
50,50,3.5718449735546325
51,51,3.343252724876901
52,52,3.376090088633056
53,53,2.957285584201403
54,54,3.5094213049913328
55,55,3.5839502397417657
56,56,3.8547527277546774
57,57,5.062015091366943
58,58,5.508914336798596
59,59,5.183468619958666
60,60,4.774295188960732
61,61,9.385580429512697
62,62,10.26630140803706
63,63,11.902986337635207
64,64,11.357837020753447
65,65,11.789945169715773
66,66,11.550447911229984
67,67,13.672925515668485
68,68,13.68927923988506
69,69,12.854815277890806
70,70,14.112074513996266
71,71,14.156470788296453
72,72,15.99864724888163
73,73,15.848714886437548
74,74,17.70627914211567
75,75,18.370965185009887
76,76,17.45241692575939
77,77,16.07979607947142
78,78,16.12580627549785
79,79,16.669515961722958
80,80,15.93604016363681
81,81,21.839238155454968
82,82,22.647276247682218
83,83,22.364912435298105
84,84,21.646666813533198
85,85,21.214333472856534
86,86,20.803616799213707
87,87,21.01343595925302
88,88,21.862764161290364
89,89,23.019625953225844
90,90,23.86864465556455
91,91,23.425212422786323
92,92,23.753951801647005
93,93,25.716254211564653
94,94,25.830441500986417
95,95,26.038919425937095
96,96,26.73697345464024
97,97,27.800124781908224
98,98,31.66011854281281
99,99,32.62711261567217
100,100,31.945756984888558
101,101,33.74846913564413
102,102,34.011045678861926
103,103,33.96049339491883
104,104,33.312468725172884
105,105,37.49684528891424
106,106,35.92200302446852
107,107,33.92590287324509
108,108,32.82960772958284
109,109,31.138127343103694
110,110,29.63122097594851
111,111,28.29965992715108
112,112,26.784676930793523
113,113,25.545443084253847
114,114,23.968170930041154
115,115,22.519762383539096
116,116,21.04377426436214
117,117,19.841585551144032
118,118,19.29950627358683
119,119,18.784530959907485
120,120,18.79530441191211
121,121,18.0055391913165
122,122,16.955262231750677
123,123,16.55749912016314
124,124,16.479624164154984
125,125,16.255642955947234
126,126,16.29286080814987
127,127,16.578217767742377
128,128,16.299306879355257
129,129,16.13434153538749
130,130,15.977624458618116
131,131,15.97874323568721
132,132,15.82980607390285
133,133,15.538315770207706
134,134,14.961399981697319
135,135,14.813329982612451
136,136,14.572663483481827
137,137,14.144030309307736
138,138,13.886828793842348
139,139,13.542487354150229
140,140,14.365362986442717
141,141,13.84709483712058
